                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2782,                 2.2012,                0.51322,                 1.8558,                 1.3239,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 328.08,                      0,                0.00064,                0.00064,                0.00064
                      2,                 0.8312,                0.65364,                0.31939,                0.72151,                0.98762,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,              0.0012839,              0.0012839,              0.0012839
                      3,                0.86231,                0.43214,                 0.2628,                0.67334,                 1.0212,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  5.987,                 11.919,                 8.4553,                 7.3735,                 97.331,              0.0019115,              0.0019115,              0.0019115
                      4,                0.84825,                 0.3706,                0.18713,                0.61195,                 1.0262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00049,                      0,              0.0019258,              0.0019258,              0.0019258
                      5,                0.74896,                0.26931,                0.17733,                0.54813,                0.98707,                0.94526,                0.34524,                0.37228,                0.29299,                0.94526,                0.34524,                0.40005,                0.37607,                 1.3895,                 5.2894,                 1.4509,                  1.896,                 3.0257,              0.0019258,              0.0019258,              0.0019258
                      6,                0.69527,                0.21108,                 0.1423,                0.51092,                0.96978,                0.05133,                0.10714,                0.02647,                0.00637,                0.02199,                0.34524,                0.01988,                0.00714,                 3.3007,                  4.789,                0.10174,                 4.7413,                 3.6356,               0.001901,               0.001901,               0.001901
                      7,                0.69892,                0.26777,                0.15638,                0.49986,                0.96985,                0.00317,                0.05952,                0.00183,                0.00035,                0.00063,                 0.0119,                0.00032,                0.00013,                 3.9667,                 3.6673,                0.22495,                 6.6379,                  4.182,              0.0018763,              0.0018763,              0.0018763
                      8,                0.69236,                0.23883,                 0.1425,                0.47709,                0.97479,                0.62457,                0.09524,                0.13354,                0.09894,                0.62457,                0.09524,                0.13354,                0.10756,                 1.8998,                 2.8512,                 1.4642,                 3.7039,                  1.977,              0.0018515,              0.0018515,              0.0018515
                      9,                0.62975,                0.17697,                0.11792,                0.41642,                0.94333,                0.99687,                      1,                  0.995,                0.86823,                0.99687,                      1,                  0.995,                0.99317,                0.58267,                0.10924,                0.01233,                0.53936,                0.90604,              0.0018267,              0.0018267,              0.0018267
                     10,                 0.6545,                0.17022,                0.11968,                0.42565,                0.94256,                0.99917,                      1,                  0.995,                0.85155,                0.99917,                      1,                  0.995,                  0.995,                0.61202,                0.09417,                0.00971,                0.36796,                0.92372,               0.001802,               0.001802,               0.001802
                     11,                 0.6546,                0.22187,                0.12384,                0.44827,                0.95239,                0.99917,                      1,                  0.995,                0.85155,                0.99917,                      1,                  0.995,                  0.995,                  3.958,                 2.3323,                0.00206,                 6.8384,                  3.746,              0.0017772,              0.0017772,              0.0017772
                     12,                0.64565,                 0.1517,                 0.0902,                0.43617,                0.94735,                0.99779,                      1,                  0.995,                0.86989,                0.99779,                      1,                  0.995,                  0.995,                0.61264,                0.08967,                0.00707,                0.41627,                0.92912,              0.0017525,              0.0017525,              0.0017525
                     13,                0.62104,                0.16887,                0.09412,                0.41558,                0.94768,                0.99904,                      1,                  0.995,                 0.8448,                0.99904,                      1,                  0.995,                  0.995,                0.56444,                0.10088,                0.00582,                0.36615,                0.91245,              0.0017278,              0.0017278,              0.0017278
                     14,                0.57525,                0.13361,                 0.0849,                0.38477,                0.91966,                0.99843,                      1,                  0.995,                0.87022,                0.99843,                      1,                  0.995,                  0.995,                0.54786,                0.07723,                0.01182,                0.37072,                 0.9076,               0.001703,               0.001703,               0.001703
                     15,                0.59343,                0.13885,                0.10398,                0.39265,                0.92595,                0.99886,                      1,                  0.995,                0.87575,                0.99886,                      1,                  0.995,                  0.995,                 0.5422,                0.08388,                0.00789,                0.32425,                0.90418,              0.0016783,              0.0016783,              0.0016783
                     16,                0.58617,                0.15476,                0.09016,                0.37941,                0.92078,                 0.9992,                      1,                  0.995,                0.86828,                 0.9992,                      1,                  0.995,                  0.995,                0.54396,                0.08743,                0.00624,                0.36254,                0.92316,              0.0016535,              0.0016535,              0.0016535
                     17,                0.61188,                0.15769,                 0.0992,                0.39583,                 0.9344,                 0.9991,                      1,                  0.995,                0.85652,                 0.9991,                      1,                  0.995,                  0.995,                0.57161,                0.06711,                0.00731,                 0.3375,                0.90471,              0.0016287,              0.0016287,              0.0016287
                     18,                0.58198,                 0.1629,                0.07903,                0.38294,                0.92106,                 0.9985,                      1,                  0.995,                0.84764,                 0.9985,                      1,                  0.995,                  0.995,                0.60095,                0.08997,                0.00807,                0.43567,                0.93931,               0.001604,               0.001604,               0.001604
                     19,                 0.5807,                0.14197,                0.08112,                0.37542,                0.92463,                0.99888,                      1,                  0.995,                0.87197,                0.99888,                      1,                  0.995,                  0.995,                0.55214,                0.06865,                0.00635,                0.33483,                0.91122,              0.0015793,              0.0015793,              0.0015793
                     20,                0.58752,                0.14751,                0.07429,                0.38606,                0.91832,                0.99703,                      1,                  0.995,                0.86417,                0.99703,                      1,                  0.995,                  0.995,                0.55335,                0.07825,                0.00893,                0.40835,                0.91029,              0.0015545,              0.0015545,              0.0015545
                     21,                0.59372,                0.12291,                0.07669,                0.38487,                0.93498,                0.99894,                      1,                  0.995,                0.86574,                0.99894,                      1,                  0.995,                  0.995,                0.53378,                0.05948,                0.00603,                0.36055,                0.91568,              0.0015298,              0.0015298,              0.0015298
                     22,                0.57232,                0.11751,                0.08154,                0.37649,                 0.9274,                 0.9993,                      1,                  0.995,                0.88306,                 0.9993,                      1,                  0.995,                  0.995,                0.53499,                0.06803,                 0.0074,                0.31166,                0.90058,               0.001505,               0.001505,               0.001505
                     23,                0.56231,                0.10086,                0.06607,                0.35754,                0.91666,                0.99925,                      1,                  0.995,                0.88745,                0.99925,                      1,                  0.995,                  0.995,                0.53611,                0.05432,                0.01418,                0.34547,                0.92836,              0.0014803,              0.0014803,              0.0014803
