                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.855,                 3.0018,                0.67839,                 3.3966,                 2.7941,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  6.441,                 5.0353,                0.84924,                 7.6255,                 8.4863,                0.00032,                0.00032,                0.00032
                      2,                 1.1172,                0.87579,                0.55734,                 1.0191,                 1.3135,                0.00823,                0.13333,                0.00507,                0.00128,                0.01029,                0.16667,                0.00781,                0.00083,                 4.4977,                 7.6683,                0.30773,                 331.12,                 12.311,             0.00065673,             0.00065673,             0.00065673
                      3,                0.95278,                0.49534,                0.52167,                0.84464,                 1.2308,                0.01404,                      1,                0.01859,                0.00736,                0.00608,                0.43333,                0.00568,                0.00075,                 2.8462,                 11.891,                 0.7391,                    inf,                 22.565,              0.0009901,              0.0009901,              0.0009901
                      4,                 1.0381,                0.48997,                0.43837,                0.82499,                 1.2685,                0.00546,                0.63333,                0.01651,                0.00215,                  0.009,                      1,                0.00974,                0.00718,                 4.0156,                     12,                0.13073,                    inf,                  52.03,              0.0013201,              0.0013201,              0.0013201
                      5,                 1.1341,                0.37783,                 0.3841,                 0.9106,                 1.3368,                0.01145,                      1,                0.01311,                0.00565,                0.01145,                      1,                0.01267,                0.00995,                 2.4892,                 8.0189,                 1.9894,                    inf,                 29.857,              0.0016467,              0.0016467,              0.0016467
                      6,                0.93348,                0.36428,                0.36065,                0.74404,                 1.2118,                0.01582,                    0.7,                0.01327,                0.00567,                0.13158,                0.33333,                0.13357,                 0.0645,                 2.8736,                0.49462,                0.59928,                 73.053,                 3.4341,              0.0019505,              0.0019505,              0.0019505
                      7,                0.85716,                0.43502,                0.34583,                0.73384,                 1.1595,                0.01998,                0.83333,                0.01971,                0.00548,                0.01872,                0.76667,                0.01736,                0.00492,                  2.858,                 9.9941,                0.06902,                 248.03,                 8.2624,              0.0019505,              0.0019505,              0.0019505
                      8,                0.84485,                0.27588,                0.29259,                0.67411,                 1.1291,                      1,                      1,                  0.995,                0.72297,                      1,                      1,                  0.995,                0.73548,                0.89356,                 1.8411,                0.14915,                 6.5236,                  1.354,              0.0019406,              0.0019406,              0.0019406
                      9,                0.83688,                0.34761,                0.29187,                0.64752,                  1.113,                0.03573,                0.93333,                0.06433,                0.01344,                 0.0043,                0.66667,                 0.0038,                0.00038,                 2.6703,                 11.985,                0.58581,                   83.6,                 6.5431,              0.0019307,              0.0019307,              0.0019307
                     10,                0.74746,                0.29814,                0.29047,                0.60326,                 1.0693,                0.05192,                    0.9,                0.07383,                0.01908,                0.00928,                    0.7,                0.00892,                0.00147,                 2.9334,                 11.971,                 0.6303,                 112.12,                 6.8381,              0.0019208,              0.0019208,              0.0019208
                     11,                0.75839,                0.18514,                0.23965,                0.60311,                 1.0713,                0.05192,                    0.9,                0.07383,                0.01908,                0.00928,                    0.7,                0.00892,                0.00147,                 3.3767,                 11.456,                0.34124,                  22.27,                 11.781,              0.0019109,              0.0019109,              0.0019109
                     12,                0.70738,                0.23915,                0.21042,                0.58139,                 1.0648,                0.45312,                0.96663,                0.44943,                0.34824,                0.01912,                      1,                0.02022,                 0.0058,                 1.0033,                 9.1681,                0.41752,                 4.9365,                  1.417,               0.001901,               0.001901,               0.001901
                     13,                0.63457,                0.20305,                0.20324,                0.52478,                 1.0243,                0.98575,                      1,                  0.995,                0.77131,                0.98575,                      1,                  0.995,                  0.995,                0.82159,                0.30471,                0.32525,                 1.4383,                 1.0892,              0.0018911,              0.0018911,              0.0018911
                     14,                0.59345,                0.15134,                0.14511,                0.48104,                 1.0029,                0.95088,                      1,                0.99177,                0.86407,                0.85546,                    0.9,                0.82772,                0.81958,                0.64335,                 1.5099,                0.08123,                0.66838,                  1.018,              0.0018812,              0.0018812,              0.0018812
                     15,                0.60194,                 0.2304,                 0.2069,                0.47979,                 1.0062,                0.42983,                0.95502,                0.53681,                0.33146,                0.42983,                0.95502,                0.53681,                0.53222,                 1.4562,                0.12628,                0.48101,                 1.4828,                 1.5697,              0.0018713,              0.0018713,              0.0018713
                     16,                0.63366,                0.17316,                0.13982,                0.48494,                0.99632,                0.99535,                      1,                  0.995,                0.89744,                0.99535,                      1,                  0.995,                  0.995,                0.61644,                0.12944,                0.03314,                0.58129,                0.99195,              0.0018614,              0.0018614,              0.0018614
                     17,                0.58451,                0.15677,                0.13453,                0.46226,                0.99845,                0.99508,                      1,                  0.995,                0.89402,                0.99508,                      1,                  0.995,                0.95982,                0.62768,                0.50589,                0.02907,                 1.0188,                0.97607,              0.0018515,              0.0018515,              0.0018515
                     18,                0.54179,                0.16078,                0.09281,                0.43908,                0.97476,                0.98956,                      1,                  0.995,                0.90593,                0.95658,                0.96667,                0.96074,                0.92696,                0.48509,                0.58224,                0.02214,                0.88653,                 0.9602,              0.0018416,              0.0018416,              0.0018416
                     19,                0.53809,                0.12039,                0.10631,                0.43285,                0.97529,                0.99584,                      1,                  0.995,                0.83869,                0.09962,                    0.1,                0.01416,                0.00425,                0.55978,                 7.8755,                0.01907,                0.67164,                0.97081,              0.0018317,              0.0018317,              0.0018317
                     20,                0.55507,                0.16782,                0.12181,                0.45816,                0.98931,                 0.9976,                      1,                  0.995,                0.87395,                 0.9976,                      1,                  0.995,                  0.995,                0.52846,                0.03815,                0.00456,                 0.4898,                0.95157,              0.0018218,              0.0018218,              0.0018218
                     21,                0.56694,                0.14647,                0.10518,                0.43531,                 0.9973,                0.99815,                      1,                  0.995,                0.93455,                0.99815,                      1,                  0.995,                  0.995,                0.51653,                0.05634,                0.01116,                0.42521,                0.92547,              0.0018119,              0.0018119,              0.0018119
                     22,                0.53352,                0.15541,                0.09271,                0.43232,                0.96136,                0.98516,                      1,                  0.995,                 0.8898,                0.98516,                      1,                  0.995,                  0.995,                0.58866,                0.66684,                0.00484,                 1.1493,                0.95673,               0.001802,               0.001802,               0.001802
                     23,                0.51803,                0.15075,                0.11987,                0.41422,                0.94987,                0.99536,                      1,                  0.995,                0.85216,                0.99536,                      1,                  0.995,                  0.995,                0.60105,                0.13956,                0.00269,                0.52132,                0.94369,              0.0017921,              0.0017921,              0.0017921
                     24,                0.53882,                0.15765,                0.10697,                0.42928,                0.97013,                0.97745,                      1,                  0.995,                0.89579,                0.97745,                      1,                  0.995,                  0.995,                0.48467,                0.09456,                0.00491,                0.69345,                 0.9237,              0.0017822,              0.0017822,              0.0017822
                     25,                0.49838,                0.17643,                0.08061,                0.40844,                0.96479,                0.98613,                      1,                  0.995,                0.88006,                0.92011,                0.93333,                0.90443,                0.89398,                0.46412,                  0.223,                0.00384,                0.46604,                0.92834,              0.0017723,              0.0017723,              0.0017723
                     26,                 0.4778,                0.14428,                0.10838,                0.37942,                0.94094,                0.87665,                    0.2,                0.21062,                0.19474,                0.87665,                    0.2,                0.28345,                 0.2513,                 1.8959,                 1.1632,                0.06161,                 4.0615,                 1.7887,              0.0017624,              0.0017624,              0.0017624
                     27,                0.49851,                0.14657,                0.13387,                0.40023,                0.95557,                 0.9982,                      1,                  0.995,                0.89802,                 0.9982,                      1,                  0.995,                  0.995,                0.42184,                 0.0421,                 0.0805,                0.31754,                 0.9064,              0.0017525,              0.0017525,              0.0017525
