                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81291,                 1.0529,                0.38631,                0.97997,                 1.1052,                0.03217,                0.96653,                0.03321,                0.02869,                0.03189,                0.95816,                0.03261,                0.03002,                0.55443,                0.62409,                0.02633,                    inf,                0.90145,             0.00065882,             0.00065882,             0.00065882
                      2,                0.66477,                0.35503,                0.20597,                0.49907,                0.95586,                0.00392,                0.67364,                0.00338,                0.00127,                 0.0048,                0.82008,                0.00448,                0.00302,                 2.5748,                 2.0426,                0.02838,                    inf,                 2.5615,              0.0013091,              0.0013091,              0.0013091
                      3,                0.66773,                0.34234,                0.17173,                0.50333,                0.96984,                0.99082,                0.97071,                0.99358,                0.88308,                0.98655,                0.96653,                0.98859,                0.97011,                0.49517,                0.24741,                0.01213,                 1.5256,                0.88916,              0.0019429,              0.0019429,              0.0019429
                      4,                0.62598,                0.21519,                0.14033,                0.44585,                 0.9352,                0.85256,                0.72585,                0.86558,                 0.7399,                0.83133,                0.72178,                0.86412,                0.81358,                0.64664,                0.51707,                0.00941,                0.72589,                0.95004,              0.0019258,              0.0019258,              0.0019258
                      5,                 0.6029,                  0.226,                0.13545,                0.42856,                0.93076,                0.48947,                0.38912,                0.47138,                0.27302,                0.62632,                0.49791,                0.61056,                  0.572,                 2.7286,                0.84642,                0.10625,                 3.5782,                 2.2875,              0.0019258,              0.0019258,              0.0019258
                      6,                0.56867,                 0.1769,                0.11561,                0.39444,                0.90875,                0.96233,                0.97908,                0.98855,                0.84781,                0.95822,                 0.9749,                0.98372,                0.97363,                0.59187,                0.19511,                0.00668,                0.42092,                0.93074,               0.001901,               0.001901,               0.001901
                      7,                0.55317,                0.15867,                0.10587,                0.38408,                 0.8977,                0.98322,                0.98044,                0.99415,                0.90782,                0.97902,                0.97626,                0.98938,                0.98778,                0.48061,                0.17364,                0.01341,                0.37501,                0.86844,              0.0018763,              0.0018763,              0.0018763
                      8,                0.51032,                 0.1293,                0.08973,                0.34791,                0.88834,                 0.9987,                      1,                  0.995,                0.93972,                0.99452,                0.99582,                0.99174,                0.99174,                0.38472,                0.08473,                0.00438,                0.24983,                0.83794,              0.0018515,              0.0018515,              0.0018515
                      9,                0.50754,                0.11411,                0.07453,                0.34034,                0.88681,                0.99982,                      1,                  0.995,                0.91214,                0.99564,                0.99582,                0.99086,                0.99086,                0.42684,                0.10487,                0.00263,                0.28876,                0.85169,              0.0018267,              0.0018267,              0.0018267
                     10,                0.49672,                0.11487,                0.07276,                0.33393,                0.87759,                0.99965,                      1,                  0.995,                0.94096,                0.99547,                0.99582,                0.99215,                0.99215,                0.36656,                0.08849,                0.00266,                 0.2477,                0.83116,               0.001802,               0.001802,               0.001802
                     11,                0.50146,                0.11665,                0.07503,                 0.3319,                0.88094,                0.99963,                      1,                  0.995,                0.94504,                0.99545,                0.99582,                0.99107,                0.99107,                0.36645,                0.09643,                 0.0062,                 0.2532,                0.83504,              0.0017772,              0.0017772,              0.0017772
                     12,                0.48881,                0.10703,                0.06587,                0.32799,                 0.8825,                0.99976,                      1,                  0.995,                0.95175,                0.99557,                0.99582,                 0.9919,                 0.9919,                0.36505,                0.10689,                 0.0031,                0.23399,                0.83508,              0.0017525,              0.0017525,              0.0017525
                     13,                0.47608,                0.09546,                0.06452,                0.31221,                0.87814,                0.99976,                      1,                  0.995,                0.95377,                0.99558,                0.99582,                0.99128,                0.99128,                0.37588,                0.09493,                0.00093,                0.23498,                0.83456,              0.0017278,              0.0017278,              0.0017278
                     14,                 0.4908,                  0.091,                0.05779,                0.32141,                0.87494,                0.99841,                      1,                  0.995,                0.94735,                0.99423,                0.99582,                0.99215,                0.99215,                0.38856,                  0.094,                0.00164,                0.26081,                0.83598,               0.001703,               0.001703,               0.001703
                     15,                0.45409,                0.07364,                0.05514,                0.30268,                0.86354,                0.99969,                      1,                  0.995,                0.95705,                0.99551,                0.99582,                0.99224,                0.99224,                0.36135,                0.08037,                0.00115,                0.22777,                0.82745,              0.0016783,              0.0016783,              0.0016783
                     16,                0.46297,                0.07804,                0.04576,                0.29524,                0.86744,                0.99974,                      1,                  0.995,                0.94917,                0.99555,                0.99582,                0.99178,                0.99178,                0.36602,                0.08581,                0.00149,                0.21587,                0.83007,              0.0016535,              0.0016535,              0.0016535
                     17,                0.46013,                 0.0922,                0.05186,                0.30176,                0.86759,                 0.9997,                      1,                  0.995,                0.94766,                0.99552,                0.99582,                 0.9914,                 0.9914,                0.35274,                0.09578,                0.00103,                0.22524,                0.82795,              0.0016287,              0.0016287,              0.0016287
                     18,                0.45064,                0.07949,                0.05623,                0.29677,                 0.8673,                0.99976,                      1,                  0.995,                0.95817,                0.99557,                0.99582,                 0.9919,                 0.9919,                0.33772,                0.08474,                 0.0062,                0.22088,                 0.8253,               0.001604,               0.001604,               0.001604
                     19,                0.44753,                0.08376,                0.05484,                 0.2834,                0.86024,                0.99976,                      1,                  0.995,                0.94894,                0.99557,                0.99582,                0.99203,                0.99203,                0.38358,                0.07902,                0.00081,                0.21557,                0.82956,              0.0015793,              0.0015793,              0.0015793
                     20,                0.45317,                0.08724,                 0.0536,                0.28876,                0.86607,                0.99976,                      1,                  0.995,                  0.961,                0.99557,                0.99582,                0.99128,                0.99128,                 0.3372,                0.07298,                0.00081,                0.19632,                0.82349,              0.0015545,              0.0015545,              0.0015545
                     21,                0.44902,                0.07219,                0.04586,                0.28429,                0.86247,                0.02616,                      1,                0.02649,                 0.0248,                0.02616,                      1,                0.02649,                0.02644,                0.35481,                0.06945,                0.00096,                    inf,                 0.8277,              0.0015298,              0.0015298,              0.0015298
                     22,                0.44353,                0.07858,                0.05047,                0.28023,                0.86603,                0.99767,                      1,                  0.995,                0.96584,                 0.9935,                0.99582,                0.99178,                0.99178,                0.32107,                   0.08,                0.00111,                0.21478,                0.81982,               0.001505,               0.001505,               0.001505
                     23,                0.44345,                0.07522,                0.04808,                0.28647,                0.85992,                0.99923,                      1,                  0.995,                0.96119,                0.99505,                0.99582,                0.99228,                0.99228,                0.33974,                0.06984,                0.00069,                0.19246,                0.82268,              0.0014803,              0.0014803,              0.0014803
                     24,                0.43609,                0.07107,                0.04816,                0.27752,                0.86793,                0.99973,                      1,                  0.995,                 0.9599,                0.99555,                0.99582,                0.99115,                0.99115,                0.34417,                0.07409,                0.00119,                 0.1957,                0.82256,              0.0014555,              0.0014555,              0.0014555
